ID,Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
57,ACQRU,Independence Holdings Corp. Units,$10.04 ,-0.03,-0.30%,0,United States,2021,200,Finance,Business Services
58,ACQRW,Independence Holdings Corp. Warrant,$0.02 ,0.0043,27.39%,0,United States,2021,100001,Finance,Business Services
59,ACRS,Aclaris Therapeutics Inc. Common Stock,$15.59 ,-0.06,-0.38%,1039590948,United States,2015,662670,Health Care,Biotechnology: Commercial Physical & Biological Resarch
60,ACRV,Acrivon Therapeutics Inc. Common Stock,$11.99 ,0.47,4.08%,254905278,United States,2022,18090,Health Care, Medicinal Chemicals and Botanical Products 
61,ACRX,AcelRx Pharmaceuticals Inc. Common Stock,$2.39 ,-0.02,-0.83%,17803985,United States,2011,105069,Health Care, Medicinal Chemicals and Botanical Products 
62,ACST,Acasti Pharma Inc. Class A Common Stock,$0.38 ,0.0266,7.55%,16908263,Canada,,172831,Health Care,Pharmaceuticals and Biotechnology
63,ACT,Enact Holdings Inc. Common Stock,$23.75 ,0.14,0.59%,3867512083,United States,2021,225864,Finance,Specialty Insurers
64,ACTG,Acacia Research Corporation (Acacia Tech) Common Stock,$3.59 ,-0.01,-0.28%,156309591,United States,,273888,Miscellaneous,Multi-Sector Companies
65,ACVA,ACV Auctions Inc. Class A Common Stock,$8.75 ,-0.16,-1.80%,1384378931,United States,2021,1908002,Industrials,Metal Fabrications
66,ACXP,Acurx Pharmaceuticals Inc. Common Stock,$3.83 ,-0.07,-1.80%,44399692,United States,2021,24083,Health Care,Biotechnology: Pharmaceutical Preparations
67,ADAG,Adagene Inc. American Depositary Shares,$1.46 ,0.14,10.61%,63397849,China,2021,326427,Health Care,Biotechnology: Pharmaceutical Preparations
68,ADAL,Anthemis Digital Acquisitions I Corp Class A Ordinary Shares,$10.22 ,0,0.00%,308516250,United States,2021,101684,Finance,Business Services
69,ADALU,Anthemis Digital Acquisitions I Corp Unit,$10.18 ,-0.09,-0.88%,0,United States,2021,100,Finance,Business Services
70,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,$1.30 ,-0.06,-4.41%,212977723,United Kingdom,2015,1081598,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
71,ADBE,Adobe Inc. Common Stock,$338.54 ,9.83,2.99%,1.57E+11,United States,1986,11929908,Technology,Computer Software: Prepackaged Software
72,ADD,Color Star Technology Co. Ltd. Ordinary Shares,$0.69 ,-0.0527,-7.10%,4531779,United States,,107743,,
73,ADEA,Adeia Inc. Common Stock,$9.68 ,-0.05,-0.51%,1016971885,United States,2003,3409180,Technology,EDP Services
74,ADER,26 Capital Acquisition Corp. Class A Common Stock,$10.07 ,0.05,0.50%,346156250,United States,2021,909,Industrials,Consumer Electronics/Appliances
75,ADERW,26 Capital Acquisition Corp. Warrant,$0.27 ,-0.0001,-0.04%,0,United States,2021,69953,Industrials,Consumer Electronics/Appliances
76,ADES,Advanced Emissions Solutions Inc. Common Stock,$2.29 ,0.03,1.33%,43763984,United States,,57412,Industrials,Industrial Specialties
77,ADI,Analog Devices Inc. Common Stock,$166.82 ,0.73,0.44%,84960748878,United States,,7393706,Technology,Semiconductors
78,ADIL,Adial Pharmaceuticals Inc Common Stock,$0.25 ,0.0072,2.96%,6716176,United States,2018,130269,Health Care,Biotechnology: Pharmaceutical Preparations
79,ADILW,Adial Pharmaceuticals Inc Warrant,$0.02 ,0,0.00%,0,United States,2018,12000,Health Care,Biotechnology: Pharmaceutical Preparations
80,ADMA,ADMA Biologics Inc Common Stock,$3.61 ,0.05,1.40%,797460483,United States,,4450829,Health Care,Biotechnology: Pharmaceutical Preparations
81,ADMP,Adamis Pharmaceuticals Corporation Common Stock,$0.15 ,-0.0201,-11.82%,22497490,United States,,964243,Health Care,Biotechnology: Pharmaceutical Preparations
82,ADN,Advent Technologies Holdings Inc. Class A Common Stock,$2.16 ,0.18,9.09%,44146529,United States,2018,888307,Utilities,Power Generation
83,ADNWW,Advent Technologies Holdings Inc. Warrant,$0.26 ,0.04,18.18%,0,United States,2018,53023,Utilities,Power Generation
84,ADOC,Edoc Acquisition Corp. Class A Ordinary Share,$10.48 ,0,0.00%,50624950,United States,2020,4913,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
85,ADOCW,Edoc Acquisition Corp. Warrant,$0.03 ,-0.0001,-0.33%,0,United States,2020,1001,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
86,ADP,Automatic Data Processing Inc. Common Stock,$247.05 ,-1.74,-0.70%,1.02E+11,United States,,4050715,Consumer Discretionary,Business Services
87,ADPT,Adaptive Biotechnologies Corporation Common Stock,$8.01 ,-0.12,-1.48%,1145527378,United States,2019,1457760,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
88,ADSE,ADS-TEC ENERGY PLC Ordinary Shares,$3.25 ,-0.24,-6.88%,158625669,Ireland,,38696,Consumer Discretionary,Industrial Specialties
89,ADSEW,ADS-TEC ENERGY PLC Warrant,$0.19 ,-0.0449,-19.52%,0,Ireland,,8901,Consumer Discretionary,Industrial Specialties
90,ADSK,Autodesk Inc. Common Stock,$192.40 ,-1.71,-0.88%,41513665846,United States,,2262490,Technology,Computer Software: Prepackaged Software
91,ADTH,AdTheorent Holding Company Inc. Common Stock,$1.68 ,0.12,7.69%,145995926,United States,2021,206218,Consumer Discretionary,Advertising
92,ADTN,ADTRAN Holdings Inc. Common Stock,$18.94 ,-0.38,-1.97%,1470803485,United States,1994,2578143,Telecommunications,Telecommunications Equipment
93,ADTX,Aditxt Inc. Common Stock,$1.57 ,-0.06,-3.68%,6532973,United States,2020,50007,Health Care, Medicinal Chemicals and Botanical Products 
94,ADUS,Addus HomeCare Corporation Common Stock,$102.54 ,-1.09,-1.05%,1651956725,United States,2009,533956,Health Care,Medical/Nursing Services
95,ADV,Advantage Solutions Inc. Class A Common Stock,$1.89 ,-0.05,-2.58%,604203633,United States,2019,871662,Consumer Discretionary,Advertising
96,ADVM,Adverum Biotechnologies Inc. Common Stock,$0.62 ,-0.0125,-1.98%,61722294,United States,2014,2052853,Health Care,Biotechnology: Pharmaceutical Preparations
97,ADXN,Addex Therapeutics Ltd American Depositary Shares,$0.62 ,0.009,1.49%,11823202,Switzerland,,50830,Health Care,Biotechnology: Pharmaceutical Preparations
98,AEAC,Authentic Equity Acquisition Corp. Class A ordinary share,$10.08 ,-0.0008,-0.01%,302400000,United States,2021,2800,Finance,Business Services
99,AEACU,Authentic Equity Acquisition Corp. Unit,$10.08 ,0.0366,0.36%,0,United States,2021,51340,Finance,Business Services
100,AEACW,Authentic Equity Acquisition Corp. Warrant,$0.01 ,0,0.00%,0,United States,2021,1,Finance,Business Services
